Comment,Source,Species,Site,aspect,slope,smoothDEM,geometry,species,sept_lwc,lat,lon
2010,GPS,B,Weathertop,35.3988,11.7648,346.596,POINT (770422.4966147648 3842636.453227339),B,,3842636.453227339,770422.4966147648
2382,GPS,B,Weathertop,22.0611,8.76965,347.703,POINT (770430.901875031 3842623.708082137),B,,3842623.708082137,770430.901875031
2381,GPS,B,Weathertop,31.8081,1.68849,347.716,POINT (770449.2496938936 3842615.7424280806),B,0.582907820478366,3842615.7424280806,770449.2496938936
2384,GPS,B,Weathertop,55.4992,13.4323,346.618,POINT (770457.7845647724 3842622.15922021),B,,3842622.15922021,770457.7845647724
2383,GPS,B,Weathertop,13.0931,7.05847,352.607,POINT (770468.9795939735 3842574.732663635),B,0.57862218103182,3842574.732663635,770468.9795939735
2011,GPS,B,Weathertop,60.5736,18.8416,342.721,POINT (770474.5217839779 3842618.087957907),B,0.566715086117452,3842618.087957907,770474.5217839779
2367,GPS,B,MiddleEarth,38.0351,15.1549,326.049,POINT (770491.3439046902 3842680.3079404114),B,,3842680.3079404114,770491.3439046902
2369,GPS,B,MiddleEarth,43.6734,12.6855,324.71,POINT (770497.4596093234 3842682.2826072043),B,,3842682.2826072043,770497.4596093234
2366,GPS,B,MiddleEarth,26.1819,14.5052,324.908,POINT (770490.6802267551 3842684.6284716316),B,,3842684.6284716316,770490.6802267551
2364,GPS,B,MiddleEarth,19.8597,16.0202,325.635,POINT (770487.0949587252 3842684.152804058),B,,3842684.152804058,770487.0949587252
2365,GPS,B,MiddleEarth,25.9207,15.5401,325.782,POINT (770487.738654878 3842682.7928433325),B,0.535108250438853,3842682.7928433325,770487.738654878
2363,GPS,B,MiddleEarth,10.9706,17.0503,325.199,POINT (770485.065361325 3842685.829482054),B,,3842685.829482054,770485.065361325
2362,GPS,B,MiddleEarth,12.5383,15.5399,324.206,POINT (770482.3238183192 3842689.7983461274),B,,3842689.7983461274,770482.3238183192
2361,GPS,B,MiddleEarth,13.621,16.4022,324.613,POINT (770479.9941795769 3842689.207437476),B,,3842689.207437476,770479.9941795769
2360,GPS,B,MiddleEarth,13.0441,17.9113,325.523,POINT (770480.3164760385 3842685.740289078),B,,3842685.740289078,770480.3164760385
2359,GPS,B,MiddleEarth,28.0016,16.1554,324.686,POINT (770474.355492116 3842690.6507181176),B,,3842690.6507181176,770474.355492116
2358,GPS,B,MiddleEarth,25.3327,15.5033,325.982,POINT (770472.2442912908 3842687.184337124),B,,3842687.184337124,770472.2442912908
2357,GPS,B,MiddleEarth,27.5859,16.4265,325.086,POINT (770472.9147446756 3842689.937329409),B,,3842689.937329409,770472.9147446756
2356,GPS,B,MiddleEarth,32.569,16.1528,325.407,POINT (770468.6331992804 3842690.9441669337),B,,3842690.9441669337,770468.6331992804
2355,GPS,B,MiddleEarth,31.7583,12.2644,326.854,POINT (770465.0940465508 3842686.8200898543),B,,3842686.8200898543,770465.0940465508
2353,GPS,L,MiddleEarth,31.0137,12.6815,327.148,POINT (770464.4536606742 3842686.473417962),L,,3842686.473417962,770464.4536606742
2352,GPS,L,MiddleEarth,66.3688,15.8925,327.088,POINT (770457.1169144753 3842694.44851666),L,0.547684865238424,3842694.44851666,770457.1169144753
2354,GPS,L,MiddleEarth,72.1009,12.4658,323.752,POINT (770468.4856790062 3842702.4929138217),L,0.477956787810666,3842702.4929138217,770468.4856790062
2377,GPS,L,MiddleEarth,110.345,18.8962,330.301,POINT (770447.3485779759 3842721.117892731),L,0.541074737492279,3842721.117892731,770447.3485779759
2378,GPS,B,MiddleEarth,85.5425,19.7775,335.045,POINT (770431.4874262032 3842706.3048667223),B,0.633228320344885,3842706.3048667223,770431.4874262032
2379,GPS,B,MiddleEarth,102.391,15.3044,336.779,POINT (770424.6065615476 3842718.762542985),B,0.624784853700516,3842718.762542985,770424.6065615476
2380,GPS,L,MiddleEarth,126.126,17.6673,343.033,POINT (770416.533794289 3842742.2450609184),L,0.474568362109193,3842742.2450609184,770416.533794289
2337,GPS,B,MiddleEarth,75.9798,10.6748,300.333,POINT (770545.3869419481 3842788.6796115306),B,,3842788.6796115306,770545.3869419481
2339,GPS,B,MiddleEarth,76.5119,10.2187,300.068,POINT (770545.5155807603 3842791.0876491885),B,,3842791.0876491885,770545.5155807603
2342,GPS,B,MiddleEarth,78.0576,11.5748,300.366,POINT (770544.0563081435 3842792.619890912),B,,3842792.619890912,770544.0563081435
2340,GPS,B,MiddleEarth,78.9245,12.236,300.731,POINT (770543.095586824 3842789.3205556436),B,,3842789.3205556436,770543.095586824
2338,GPS,B,MiddleEarth,82.2031,15.8293,301.81,POINT (770539.1115664085 3842785.990525086),B,,3842785.990525086,770539.1115664085
2341,GPS,B,MiddleEarth,77.4072,15.184,302.552,POINT (770536.1940239447 3842788.0445034388),B,,3842788.0445034388,770536.1940239447
2343,GPS,B,Hobbiton,73.9724,16.6241,303.287,POINT (770531.352001393 3842800.802879876),B,0.625556104794859,3842800.802879876,770531.352001393
2344,GPS,B,Hobbiton,69.9525,16.0114,302.821,POINT (770531.427568543 3842805.653755131),B,,3842805.653755131,770531.427568543
2346,GPS,B,Hobbiton,75.3769,10.5863,301.723,POINT (770530.7437404594 3842818.620288688),B,,3842818.620288688,770530.7437404594
2347,GPS,B,Hobbiton,71.269,13.9265,300.753,POINT (770534.618939464 3842821.9474929953),B,0.622602168473728,3842821.9474929953,770534.618939464
2348,GPS,B,Hobbiton,72.0497,13.6433,300.989,POINT (770534.3644682047 3842821.9065624503),B,,3842821.9065624503,770534.3644682047
2349,GPS,B,Hobbiton,66.7856,13.451,301.249,POINT (770530.5098196723 3842826.346575819),B,,3842826.346575819,770530.5098196723
2350,GPS,B,Hobbiton,90.7021,13.125,302.065,POINT (770526.7990944923 3842829.0954261837),B,,3842829.0954261837,770526.7990944923
2351,GPS,B,Hobbiton,90.7021,13.125,302.065,POINT (770526.5669116059 3842829.471996029),B,,3842829.471996029,770526.5669116059
2009,GPS,B,Hobbiton,123.322,14.8126,303.939,POINT (770521.5291933517 3842837.804065467),B,,3842837.804065467,770521.5291933517
2375,GPS,B,Hobbiton,109.898,8.45845,299.218,POINT (770548.2806712184 3842841.662256633),B,0.668363351605325,3842841.662256633,770548.2806712184
2370,GPS,B,Weathertop,66.2277,1.57039,297.022,POINT (770590.3820635877 3842822.742039254),B,0.62901023890785,3842822.742039254,770590.3820635877
2374,GPS,B,Ridge,2.62671,0.75349,318.423,POINT (770605.7255472152 3842729.4311851296),B,,3842729.4311851296,770605.7255472152
2331,GPS,L,Ridge,302.533,25.0833,313.249,POINT (770594.4815571127 3842747.2112320093),L,0.540139460039335,3842747.2112320093,770594.4815571127
2332,GPS,B,Ridge,312.819,21.0935,310.164,POINT (770583.6417314487 3842746.0966198635),B,,3842746.0966198635,770583.6417314487
2333,GPS,B,Ridge,311.835,20.9684,314.635,POINT (770591.927924071 3842737.84928814),B,,3842737.84928814,770591.927924071
2330,GPS,B,Ridge,304.133,24.399,310.47,POINT (770590.4853558377 3842751.83814587),B,,3842751.83814587,770590.4853558377
2337?,GPS,B,Ridge,303.031,25.0777,311.528,POINT (770595.2176252787 3842756.0601073983),unknown,,3842756.0601073983,770595.2176252787
2328,GPS,L,Ridge,302.867,25.5247,312.849,POINT (770596.9224590871 3842753.5531356796),L,,3842753.5531356796,770596.9224590871
2326,GPS,B,Ridge,305.646,25.0164,311.011,POINT (770594.7709405392 3842757.763503872),B,,3842757.763503872,770594.7709405392
2325,GPS,B,Ridge,309.011,25.6723,310.804,POINT (770596.4686743814 3842760.092691841),B,,3842760.092691841,770596.4686743814
2324,GPS,B,Ridge,300.555,26.3988,314.763,POINT (770603.3859756228 3842756.014346167),B,,3842756.014346167,770603.3859756228
2321,GPS,B,Ridge,310.652,26.6332,312.529,POINT (770602.2869304544 3842761.867070729),B,,3842761.867070729,770602.2869304544
2323,GPS,L,Ridge,306.517,26.3727,311.65,POINT (770599.0157836126 3842760.7409410505),L,,3842760.7409410505,770599.0157836126
2322,GPS,L,Ridge,312.484,20.9253,315.99,POINT (770607.3998567977 3842757.086047388),L,,3842757.086047388,770607.3998567977
2320,GPS,L,Ridge,314.067,27.2952,314.0,POINT (770605.4347763668 3842761.13304394),L,,3842761.13304394,770605.4347763668
2319,GPS,B,Ridge,312.23,25.9181,312.599,POINT (770604.0074476821 3842764.193820063),B,,3842764.193820063,770604.0074476821
2318,GPS,B,Ridge,317.358,25.476,314.337,POINT (770608.2034201043 3842763.274008663),B,,3842763.274008663,770608.2034201043
2317,GPS,B,Ridge,309.604,25.1807,311.305,POINT (770602.8998155885 3842766.772789346),B,,3842766.772789346,770602.8998155885
2316,GPS,B,Ridge,323.241,23.9784,314.585,POINT (770610.3180274825 3842764.012329541),B,,3842764.012329541,770610.3180274825
2315,GPS,L,Ridge,338.747,22.9663,314.465,POINT (770612.7672524359 3842766.314206299),BL,,3842766.314206299,770612.7672524359
2314,GPS,B,Ridge,333.095,22.9802,314.681,POINT (770611.9628134731 3842765.322795416),BL,,3842765.322795416,770611.9628134731
2312,GPS,B,Ridge,339.461,23.0001,314.063,POINT (770613.4457987901 3842766.751365472),B,,3842766.751365472,770613.4457987901
2311,GPS,B,Ridge,338.747,22.9663,314.465,POINT (770613.4530822281 3842765.5685762386),B,,3842765.5685762386,770613.4530822281
2310,GPS,B,Ridge,336.863,15.506,312.269,POINT (770612.1292631574 3842771.8253780627),B,,3842771.8253780627,770612.1292631574
2313,GPS,B,Ridge,320.838,19.1233,312.336,POINT (770609.1065588412 3842770.2217057226),B,,3842770.2217057226,770609.1065588412
2371,GPS,B,Weathertop,331.491,10.3532,298.213,POINT (770599.6635204358 3842809.3436882882),B,0.630022183879714,3842809.3436882882,770599.6635204358
2372,GPS,B,Weathertop,322.614,18.2953,300.436,POINT (770597.4318932275 3842796.9373405864),B,0.62704343764596,3842796.9373405864,770597.4318932275
2307,GPS,B,Weathertop,312.874,20.5567,302.131,POINT (770582.2142847065 3842775.067373577),B,,3842775.067373577,770582.2142847065
2308,GPS,B,Weathertop,312.199,18.8558,302.11,POINT (770585.0376934098 3842777.9475016184),B,,3842777.9475016184,770585.0376934098
2373,GPS,B,Weathertop,316.085,14.4459,300.708,POINT (770577.1007615037 3842775.974881512),B,,3842775.974881512,770577.1007615037
2306,GPS,B,Weathertop,311.861,18.4048,301.981,POINT (770579.0954982976 3842771.6425040183),B,,3842771.6425040183,770579.0954982976
2305,GPS,B,Weathertop,334.688,16.4863,301.837,POINT (770574.4316309833 3842768.884681245),B,,3842768.884681245,770574.4316309833
2304,GPS,B,Weathertop,324.295,12.6848,301.732,POINT (770568.2079327649 3842765.8127079736),B,,3842765.8127079736,770568.2079327649
2302,GPS,B,Weathertop,334.647,15.4268,303.437,POINT (770569.8314032807 3842759.67823831),B,,3842759.67823831,770569.8314032807
2303,GPS,B,Weathertop,315.376,19.1619,305.019,POINT (770579.230899967 3842759.2379347677),B,,3842759.2379347677,770579.230899967
2301,GPS,L,Hobbiton,328.491,16.4549,304.742,POINT (770574.9574476053 3842757.476780254),L,0.548910675381263,3842757.476780254,770574.9574476053
2345,KMZ,L,Hobbiton,84.2722,3.82894,298.097,POINT (770551.6542048007 3842819.410464055),L,0.542327735958309,3842819.410464055,770551.6542048007
